key,peak,mean,std,slope_up,height_up,width_up,angle_up,slope_down,height_down,width_down,angle_down,variation,cc_avg,cc_std,peak_avg,peak_std,begin,up_start,max,down_start,end,food_item
0515_2018_223_014,75,72.66666667,1.795054936,4,4,1,75.96375653,-1.2,5,4,51.34019175,4,8,5.099019514,75,1.632993162,0,0,1,1,5,177 Pork BBQ
0514_2018_216_006,71,69.52631579,0.9385555,0.333333333,4,7,29.7448813,-0.236363636,3,9,18.43494882,4,12.5,5.5,73,2,0,0,7,9,18,178 Spicy Ramen
0510_2018_214_011,69,63.90909091,4.032922366,1.321212121,12,9,53.13010235,0,0,1,0,12,9,0,69,0,5,5,14,14,15,179 Duck BBQ
0507_2018_218_008,74,70.83333333,1.67497927,5,5,1,78.69006753,-1,5,4,51.34019175,5,6,3.559026084,73.66666667,1.247219129,0,0,1,1,5,180 Odeng_Fried Rice
0506_2018_225_013,81,79.125,1.690968657,2.5,5,2,68.19859051,-0.9,3,3,45,9,8.5,1.5,83.5,2.5,0,5,7,9,12,181 Pork Belly and beer
0501_2018_224_007,67,65.25,2.487468593,3,6,2,71.56505118,0,0,1,0,6,2,0,67,0,3,3,5,5,6,182 Spicy Chicken Fried Rice
0425_2018_224_007,78,73.18181818,3.809513971,0.845238095,11,7,57.52880771,-6.5,13,2,81.25383774,11,6,1,77.5,0.5,10,10,17,18,20,183 Pork Belly
0420_2018_213_014,77,74,2.34520788,4.5,9,2,77.47119229,-0.533333333,5,8,32.00538321,9,10,8,77,0,2,2,4,5,13,184 Budae Jjigae
0419_2018_232_001,75,72.75,2.086664004,0.714285714,6,7,40.60129465,-2.1,6,3,63.43494882,6,7,0,73,2,1,1,8,9,12,185 Tteokbokki
1114_2018_218_010,68,66.4,1.907878403,4,4,1,75.96375653,-1.3,5,4,51.34019175,4,6.5,3.5,66,2,0,2,3,7,11,186 Vongole Pasta
1114_2018_218_012,65,62.42857143,2.583305903,4,8,2,75.96375653,-0.483333333,6,8,36.86989765,8,7.5,5.5,62.5,2.5,0,0,2,5,13,187 Macaroon 5pcs
1118_2018_241_000,82,76.94736842,3.486420034,0.85,7,8,41.18592517,-1.15,11,8,53.97262661,17,6.8,2.315167381,76.6,3.322649545,0,26,34,36,44,188 spicy pork and tteokbokki and udon
